ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000033845,2370.3559426576307,0.16972121766901863,0.035989501007997284,4.715853593838509,2.406994762110018e-06,1.2748225005688413e-05
ENSMUSG00000025903,1159.2674113250303,-0.09000068914179257,0.05174237866889571,-1.7393999166083058,0.08196444290884336,0.15177755942460305
ENSMUSG00000033813,2662.4135562793267,0.21262156595981108,0.052233332412594,4.070610779344912,4.689003651740608e-05,0.0001972260127606936
ENSMUSG00000062588,20.08032190482744,-0.05223972343322269,0.2816946857726832,-0.18544802607805722,0.8528776422720337,0.9273178378869089
ENSMUSG00000002459,69.83408826013529,-0.388743338919697,0.14129192238209856,-2.751348643048473,0.005935043965862195,0.015496751263003159
ENSMUSG00000033793,2260.779559602225,0.4152428363305942,0.03491076274684164,11.894407445112641,1.2654800344043072e-32,6.750997878194276e-31
ENSMUSG00000025907,2166.44179644223,0.045694963766490335,0.037398825403384475,1.2218288481957265,0.22177235681521312,0.3471899900544617
ENSMUSG00000090031,18.692619414255134,0.2555260575294704,0.28376505326161716,0.9004845896012719,0.3678624226407492,0.514212729397915
ENSMUSG00000051285,840.600466669932,0.008784601256216629,0.04268937069003452,0.20577959136482002,0.8369630837563714,0.918300731742115
ENSMUSG00000103509,19.01959956955634,0.4882558798161727,0.2998245624709515,1.6284719163510073,0.10342485936118098,0.18441901986011378
ENSMUSG00000084353,11.353392010776886,-0.5386043192033344,0.38693819791873585,-1.391964717105679,0.16393308251262373,0.2703590199739164
ENSMUSG00000103933,5.524685414017621,0.8022036639107728,0.4164630443392566,1.9262301296949809,0.0540756452759364,0.10654289456184989
ENSMUSG00000061024,4263.496411517896,0.07210867381506608,0.0332827789445247,2.1665460668189955,0.030269483624012505,0.06455242182069312
ENSMUSG00000025911,356.17069537293196,0.1629533118761499,0.07710113372193608,2.113500852838795,0.03455792209391958,0.07259033319908535
ENSMUSG00000079671,100.86485265540642,-0.5266131831348737,0.12018575317563004,-4.381660631317279,1.1777816307799979e-05,5.5352568437834666e-05
ENSMUSG00000025912,700.9973343716425,-0.34640837805547153,0.05699317195603859,-6.078068059147014,1.2163912983693832e-09,1.0385767365491062e-08
ENSMUSG00000045210,2540.7002470200614,0.18497350183792452,0.04508444551922189,4.102823040355692,4.081394138849209e-05,0.0001738136681252145
ENSMUSG00000097893,35.84027564932931,0.37643077281765386,0.2007862281364316,1.8747838251230764,0.06082246928769813,0.1178261473644015
ENSMUSG00000025915,21.778589713288998,1.3238868629863927,0.3246015451557062,4.078498339714757,4.532752601787506e-05,0.00019111397621473294
ENSMUSG00000098234,1097.7772773800502,0.3607580138643759,0.050499644131427435,7.143773388293353,9.080305456019487e-13,1.129140830594167e-11
ENSMUSG00000025917,4557.098702236925,-0.04332089609487262,0.026887548317913228,-1.6111880333102382,0.10713874524571575,0.18989072309147462
ENSMUSG00000056763,1361.8152730271725,0.08196727977420676,0.051120732457812644,1.603405816648856,0.10884508768607208,0.1925975174817356
ENSMUSG00000067851,7248.439362878125,0.19464865507878928,0.03974594675048987,4.897320884082105,9.715212106812777e-07,5.459972642417458e-06
ENSMUSG00000005886,2081.071046978373,-0.060208095144459566,0.03875904507663738,-1.5533946985900053,0.12032886865794028,0.20939593452142194
ENSMUSG00000025935,2843.7844454620295,-0.061642457516326216,0.032600389079636985,-1.8908503627286346,0.05864432207145902,0.11420812172116242
ENSMUSG00000025937,2062.8638915036568,0.08046875927771045,0.0363101852311567,2.2161484102995597,0.026681339719967,0.05785372095345622
ENSMUSG00000082193,10.134213774325987,-0.15837478781233594,0.3678943004447764,-0.4304899195797928,0.666839297912572,0.7944687174427367
ENSMUSG00000025925,1758.0268897875674,-0.020327572157392466,0.03330059353060499,-0.6104267222357573,0.5415791710237174,0.6859054071582548
ENSMUSG00000043716,28214.886850730734,-0.009208445820681251,0.0264027031314934,-0.3487690550024527,0.7272626969006257,0.8413546787600426
ENSMUSG00000025921,304.0663553449848,0.25886424259655205,0.07280998997115848,3.555339627145855,0.00037749114763103043,0.0013197082967581072
ENSMUSG00000025920,94.16517364533819,-0.5278670967523662,0.13518795857951302,-3.904690197994909,9.434616740136884e-05,0.0003743049621824957
ENSMUSG00000025939,1031.4043280245075,0.015028816651765654,0.047845156142695404,0.3141136504381568,0.7534347223141523,0.8619051492703311
ENSMUSG00000079658,2353.245871369684,-0.0002881113585194506,0.03817999070082549,-0.007546134853124029,0.9939791126493968,0.998049285739987
